SampleName	DepthTop	DepthBottom
LMSH001	0	0.5
LMSH009	4	4.5
LMSH017	8	8.5
LMSH030	12	12.25
LMSH046	16	16.25
LMSH062	20	20.25
LMSH078	24	24.25
LMSH094	28	28.25
LMSH110	32	32.25
LMSH126	36	36.25
LMSH138	39	39.25
LMSH140	39.5	39.75
LMSH142	40	40.25
LMSH144	40.5	40.75
LMSH146	41	41.25
LMSH148	41.5	41.75
LMSH152	42.5	42.75
LMSH154	43	43.25
LMSH156	43.5	43.75
LMSH158	44	44.25
LMSH159	44.25	44.5
LMSH161	44.75	45
LMSH163	45.25	45.5
LMSH165	45.75	46
LMSH168	46.5	46.75
LMSH170	47	47.25
LMSH172	47.5	47.75
LMSH174	48	48.25
LMSH176	48.5	48.75
LMSH178	49	49.25
LMSH180	49.5	49.75
LMSH184	50.5	50.75
LMSH186	51	51.25
LMSH188	51.5	51.75
LMSH190	52	52.25
LMSH192	52.5	52.75
LMSH194	53	53.25
LMSH196	53.5	53.75
LMSH198	54	54.25
LMSH200	54.5	54.75
LMSH202	55	55.25
LMSH204	55.5	55.75
LMSH206	56	56.25
LMSH208	56.5	56.75
LMSH212	57.5	57.75
LMSH214	58	58.25
LMSH216	58.5	58.75
LMSH218	59	59.25
LMSH220	59.5	59.75
LMSH222	60	60.25
LMSH238	64	64.25
LMSH254	68	68.25
LMSH270	72	72.25
LMSH286	76	76.25
LMSH302	80	80.25
