code,alias,group,name,is_special,value
A,,A,Alnus,FALSE,1
B,,A,Betula,FALSE,1
C,,A,Corylus,FALSE,1
I,,A,Picea,FALSE,1
P,,A,Pinus,FALSE,1
Q,,A,Quercus,FALSE,1
S,,A,Abies,FALSE,1
U,,A,Ulmus,FALSE,1
G,,B,Artemisia,FALSE,1
H,,B,Poaceae undiff.,FALSE,1
J,,B,Asteraceae undiff.,FALSE,1
N,,B,Cyperaceae,FALSE,1
R,,B,Ranunculus,FALSE,1
F,,F,Sphagnum,FALSE,1
SF,,F,Pteridophyte undiff.,FALSE,1
PT,,F,Polypodiaceae,FALSE,1
UP,,Q,Potamogeton,FALSE,1
Y,,Q,Nuphar,FALSE,1
.,,.,Microspheres (tracer spike),TRUE,1
#FUN,Fun,#,Fungal spore,TRUE,1
#ALG,Alg,#,Algae,TRUE,1
#NAP,NAP,X,Unidentifiable,FALSE,1
